"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"625",1,3,9,1,37,1
"626",2,3,9,1,27,1
"627",1,3,9,1,31,1
"628",2,3,9,1,24,1
"629",1,3,9,1,90,1
"630",3,2,9,1,24,1
"631",1,3,9,1,20,1
"632",1,3,1,1,44,1
"633",1,3,1,1,54,1
"634",3,3,9,2,16,1
"636",1,3,9,1,34,1
"637",3,3,19,1,79,1
"638",1,3,9,1,67,1
"639",1,3,9,1,39,1
"640",3,2,9,2,21,1
"641",3,3,9,1,6,1
"642",2,3,19,1,26,1
"643",1,3,9,1,27,1
"644",1,3,3,1,21,1
"645",1,3,9,2,30,1
"646",2,3,11,1,53,1
"647",3,2,9,2,52,1
"648",2,3,9,1,40,1
"649",1,3,9,2,42,1
"650",1,2,4,1,75,1
"651",1,2,1,1,10,1
"652",1,3,9,1,76,1
"653",2,3,9,1,21,1
"654",1,3,3,1,45,1
"655",1,3,1,1,11,1
"656",1,3,9,1,53,1
"657",2,3,9,1,19,1
"658",1,3,8,1,53,1
"659",1,3,21,5,51,1
"660",1,2,11,5,35,1
"661",2,2,11,5,22,1
"662",2,3,9,1,2,1
"663",2,3,9,1,6,1
"664",1,3,9,1,43,1
"665",1,1,1,1,32,1
"666",1,2,1,1,61,1
"667",1,3,9,1,38,1
"668",2,3,11,1,49,1
"669",2,3,19,1,20,1
"670",2,3,9,1,36,1
"671",2,3,9,1,7,1
"672",2,3,9,1,8,1
"673",2,3,9,1,12,1
"674",3,3,4,1,36,1
"675",3,3,9,1,31,1
"676",3,3,9,1,1,1
"677",1,3,9,1,49,1
"678",1,2,19,1,26,1
"679",2,3,19,1,15,1
"680",1,3,8,1,43,1
"681",2,3,19,1,20,1
"682",1,3,9,1,22,1
"683",1,3,9,2,44,1
"684",1,3,9,1,33,1
"685",1,3,9,1,37,1
"686",1,3,9,1,27,1
"687",1,3,9,1,53,1
"688",1,3,9,1,68,1
"689",1,3,9,2,21,1
"690",1,3,9,1,24,1
"691",2,3,9,1,2,1
"692",2,3,9,1,20,1
"693",2,3,9,1,17,1
"694",3,2,9,1,20,1
"695",1,3,9,1,20,1
"696",2,3,9,1,27,1
"697",1,3,5,1,46,1
"698",1,2,9,1,34,1
"699",2,2,9,1,20,1
"700",2,2,9,1,24,1
"701",1,2,1,1,14,1
"702",1,3,9,1,20,1
"703",2,3,9,1,14,1
"704",1,1,5,2,21,1
"705",1,3,9,1,37,1
"706",1,3,22,1,50,1
"707",3,3,2,1,64,1
"708",3,2,8,2,38,1
"709",1,2,1,1,51,1
"710",1,3,5,1,35,1
"711",2,3,11,1,13,1
"712",2,3,11,1,34,1
"713",2,3,11,1,17,1
"714",2,3,11,1,60,1
"715",3,3,11,1,48,1
"716",1,3,3,1,51,1
"717",1,3,19,1,32,1
"718",1,3,9,2,27,1
"719",1,3,9,1,23,1
"720",1,3,9,1,20,1
"721",2,3,9,1,18,1
"722",1,3,2,1,12,1
"723",1,3,2,1,13,1
"724",1,3,9,9,34,1
"725",1,2,9,1,26,1
"726",2,2,9,1,25,1
"727",1,2,9,1,54,1
"728",1,3,9,1,40,1
"729",1,3,9,1,46,1
"730",3,3,19,2,50,1
